Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Author Keywords,Index Keywords,Editors,Publisher,ISSN,ISBN,CODEN,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
,,,"2nd International Conference on Deep Sciences for Computing and Communications, IconDeepCom 2023",2024,Communications in Computer and Information Science,2177 CCIS,,,,,1027,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206240276&partnerID=40&md5=5b7b457f23b293fb3a2cd975fea743d2,"The proceedings contain 82 papers. The special focus in this conference is on Deep Sciences for Computing and Communications. The topics include: Digital Identity System for Real World Asset Using Blockchain; blockchain-Driven Framework for Fake Product Detection; blockchain Powered Real-Estate Management System; a Block-Chain Based Decentralized Mechanism to Ensure the Security of Electronic Voting System Using Solidity Language; a Secure Persistent Health Care System Using Blockchain Smart Contract; multimodal Fake News Detection Using Deep Learning Techniques; maritime Human Drowning Detection Using Intelligent Deep Learning Algorithm; development of a Pothole Detection System Using Deep Learning Techniques and Depth Estimation; machine Learning and Deep Learning Algorithms for Breast Cancer Prediction; leaf Disease Detection Using Deep Learning Approach; Robust Traffic Sign Recognition Using CNN YOLOv5 Model; Fusion Emotion Prediction Using the CEFER Algorithm; performance Analysis of Various Machine Learning Techniques for Mental Health Tracking; Chronic Kidney Disease (CKD) Detection Analysis Using Machine Learning; Revolutionizing MS Rehabilitation with Digital Twins and Machine Learning: A Promising Path to Precision Medicine; empirical Evaluation of Machine Learning Techniques for Car Price Prediction; water Quality Analysis Using Machine Learning Techniques; design and Development of Human Identification and Obstacle Detection System for Blind Using Machine Learning; effective Parkinson Disease Detection and Prediction Using Voting Classifier in Machine Learning; inflow and Infiltration Water Problem Detection Using Machine Learning; crop Recommendation and Production Prediction; a Comparison of Cox Model and Machine Learning Techniques in the High-Dimensional Survival Data; Smart Farming: Using IoT and AI to Improve Crop Yield in Aeroponics System. © 2024 Elsevier B.V., All rights reserved.",,,"R., A.U.; Appavoo, R.; Madhivanan, V.; Kottursamy, K.; Raja, G.; Bashir, A.K.; Kose, U.",Springer Science and Business Media Deutschland GmbH,18650937; 18650929,9789819671748; 9789819664610; 9783032026743; 9783032008831; 9783032026712; 9789819671779; 9783031949425; 9789819666874; 9783031936968; 9783031941207,,English,Commun. Comput. Info. Sci.,Conference review,Final,,Scopus,2-s2.0-85206240276
,,,"2nd International Conference on Deep Sciences for Computing and Communications, IconDeepCom 2023",2024,Communications in Computer and Information Science,2176 CCIS,,,,,1027,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206193033&partnerID=40&md5=500f4959f456e90154e0c68d570d7a06,"The proceedings contain 82 papers. The special focus in this conference is on Deep Sciences for Computing and Communications. The topics include: Digital Identity System for Real World Asset Using Blockchain; blockchain-Driven Framework for Fake Product Detection; blockchain Powered Real-Estate Management System; a Block-Chain Based Decentralized Mechanism to Ensure the Security of Electronic Voting System Using Solidity Language; a Secure Persistent Health Care System Using Blockchain Smart Contract; multimodal Fake News Detection Using Deep Learning Techniques; maritime Human Drowning Detection Using Intelligent Deep Learning Algorithm; development of a Pothole Detection System Using Deep Learning Techniques and Depth Estimation; machine Learning and Deep Learning Algorithms for Breast Cancer Prediction; leaf Disease Detection Using Deep Learning Approach; Robust Traffic Sign Recognition Using CNN YOLOv5 Model; Fusion Emotion Prediction Using the CEFER Algorithm; performance Analysis of Various Machine Learning Techniques for Mental Health Tracking; Chronic Kidney Disease (CKD) Detection Analysis Using Machine Learning; Revolutionizing MS Rehabilitation with Digital Twins and Machine Learning: A Promising Path to Precision Medicine; empirical Evaluation of Machine Learning Techniques for Car Price Prediction; water Quality Analysis Using Machine Learning Techniques; design and Development of Human Identification and Obstacle Detection System for Blind Using Machine Learning; effective Parkinson Disease Detection and Prediction Using Voting Classifier in Machine Learning; inflow and Infiltration Water Problem Detection Using Machine Learning; crop Recommendation and Production Prediction; a Comparison of Cox Model and Machine Learning Techniques in the High-Dimensional Survival Data; Smart Farming: Using IoT and AI to Improve Crop Yield in Aeroponics System. © 2024 Elsevier B.V., All rights reserved.",,,"R., A.U.; Appavoo, R.; Madhivanan, V.; Kottursamy, K.; Raja, G.; Bashir, A.K.; Kose, U.",Springer Science and Business Media Deutschland GmbH,18650937; 18650929,9789819671748; 9789819664610; 9783032026743; 9783032008831; 9783032026712; 9789819671779; 9783031949425; 9789819666874; 9783031936968; 9783031941207,,English,Commun. Comput. Info. Sci.,Conference review,Final,,Scopus,2-s2.0-85206193033
"Graf, M.; Küsters, R.; Rausch, D.; Egger, S.; Bechtold, M.; Flinspach, M.","Graf, Mike (57220041187); Küsters, Ralf (7003544394); Rausch, Daniel (56369439000); Egger, Simon (59316337400); Bechtold, Marvin (58106346700); Flinspach, Marcel (59360820700)",57220041187; 7003544394; 56369439000; 59316337400; 58106346700; 59360820700,Accountable Bulletin Boards: Definition and Provably Secure Implementation,2024,Proceedings - IEEE Computer Security Foundations Symposium,,,,201,216,0,10.1109/CSF61375.2024.00013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205959143&doi=10.1109%2FCSF61375.2024.00013&partnerID=40&md5=c42ef5b4781eaafe2001dae731b7527e,"Bulletin boards (BB) are important cryptographic building blocks that, at their core, provide a broadcast channel with memory. BBs are widely used within many security protocols, including secure multiparty computation protocols, evoting systems, and electronic auctions. Even though the security of protocols crucially depends on the underlying BB, as also highlighted by recent works, the literature on constructing secure BBs is sparse. The so-far only provably secure BBs requiretrusted components and sometimes also networks without message loss, which makes them unsuitable for applications with particularly high security needs where these assumptions might not always be met. In this work, we fill this gap by leveraging the concepts of accountability and universal composability (UC). More specifically, we propose the first ideal functionality for accountable BBs that formalizes the security requirements of such BBs in UC. We then propose Fabric∗<inf>BB</inf> as a slight extension designed on top of Fabric*, which is a variant of the prominent Hyperledger Fabric distributed ledger protocol, and show that Fabric∗<inf>BB</inf> UC-realizes our ideal BB functionality. This result makes Fabric∗<inf>BB</inf> the first provably accountable BB, an often desired, but so far not formally proven property for BBs, and also the first BB that has been proven to be secure based only on standard cryptographic assumptions and without requiring trusted BB components or network assumptions. Through an implementation and performance evaluation we show that Fabric∗<inf>BB</inf> is practical for many applications of BBs. © 2024 Elsevier B.V., All rights reserved.",Accountability; Blockchain; Bulletin Board; Distributed Ledger; E-voting; Foundations; Hyperledger Fabric; Ideal Bulletin Board Functionality; Universal Composability,Blockchain; Cryptography; Distributed ledger; Electronic voting; Mendelevium; Accountability; Block-chain; Building blockes; CryptoGraphics; E-Voting; Hyperledger fabric; Ideal bulletin board functionality; Provably secure; Secure implementation; Universal composability; Bulletin boards,,IEEE Computer Society,19401434,9781728176079; 9781538666807; 9781728165721; 9781538632161; 9781509026074; 9798350362039; 0769528198; 9780769528199; 9780769531823; 0818679905,,English,Proc.IEEE Comput. Secur. Found. Symp.,Conference paper,Final,,Scopus,2-s2.0-85205959143
"Zhang, Y.; Yang, J.; Lei, H.; Bao, Z.; Lu, N.; Shi, W.; Chen, B.","Zhang, Yongxin (57210736152); Yang, Jiacheng (58663096200); Lei, Hong (57220189358); Bao, Zijian (57194702343); Lu, Ning (57204962611); Shi, Wenbo (35732175200); Chen, Bangdao (57202892886)",57210736152; 58663096200; 57220189358; 57194702343; 57204962611; 35732175200; 57202892886,Verifiable Random Function Schemes Based on SM2 Digital Signature Algorithm and its Applications for Committee Elections,2024,IEEE Open Journal of the Computer Society,5,,,480,490,0,10.1109/OJCS.2024.3463649,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205932942&doi=10.1109%2FOJCS.2024.3463649&partnerID=40&md5=d2a13acf93186972dc0bc20ba764cfe7,"A verifiable random function (VRF) is a pseudorandom function that enables source verification. By providing a public verification key and accompanying proof with the output, all parties can verify the correctness of the output without interaction. VRF has gained widespread adoption in blockchain applications, including Algorand, Ouroboros, and ChainLink. This article introduces SM2VRF, the first VRF based on the Chinese standard SM2 cryptographic algorithm, and extends it to a batch construction called SM2VRF-B for efficient verification of multiple sources. We showcase the applicability of SM2VRF in an electronic random committee election scenario, where the blockchain is utilized for storing candidate parameters and votes. By employing the Hamming distance, our scheme eliminates the risk of election failure. We provide a security proof for the proposed scheme, followed by an evaluation of the performance of both SM2VRF and SM2VRF-B. We implement our committee election scheme with Ethereum to assess the feasibility and efficiency. © 2024 Elsevier B.V., All rights reserved.",Batch verification; blockchain; electronic election; SM2; verifiable random function (VRF),Blockchain; Electronic voting; Batch verification; Block-chain; Chinese Standard; Digital signature algorithms; Electronic election; ITS applications; Pseudo-random functions; Public verifications; SM2; Verifiable random function; Hamming distance,,Institute of Electrical and Electronics Engineers Inc.,26441268,,,English,IEEE Open J. Comput. Soc.,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85205932942
,,,"2nd International Conference on Innovations in Data Analytics, ICIDA 2023",2024,Lecture Notes in Networks and Systems,1005 LNNS,,,,,461,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204549611&partnerID=40&md5=cbcf3a1cd98f3f7dfd7a941ffe378cd9,"The proceedings contain 34 papers. The special focus in this conference is on Innovations in Data Analytics. The topics include: Research on the Impact of Computer Information Technology on Urban Performing Arts Tourism Design; formulation and Performance Assessment for Multiple Server Queuing Models; assessment of Smart Supply Chain Production Floor Based on the Inspection of Final Products: A Simulation-Based Study; review of Efficient Load Balancing Technique to Improve QoS Parameters Fog Computing; electronic Voting System Using Blockchain; performing Evaluation of Non-fungible Tokens: A Review; a Concept Matrix-Based Approach for Research Paper Clustering; Real-Time Multi-objects Detection Using YOLOv7 for Advanced Driving Assistant Systems; an Intelligent Credit Card Fraud Detection Using a Classification Algorithm; A Novel Approach for Intelligent Hardware Utilization in CI/CD Pipeline; retinal Vessel Segmentation Using Modify Matching Filter and Hessian Matrix; Increasing Contrast in X-ray Images Using Retinex- and CLAHE-Based Region Segmentation; blood Share + −: A Connecting Resource for Donors and Seekers; gradient Ridge Enhancer: A Robust Approach for Ridge Detection in Infant’ Retinal Images; securing Real-Time Data Streams with Cloud-Enabled Lightweight Cryptography; examining the Consequences of Cyberattacks on Businesses and Organizations; player Performance Analysis Using Various Data Mining Approaches; systematic Review of Wavelet Tree Compression Techniques; analysis of Credit Bank Construction Mode of Higher Vocational Colleges Based on Big Data and Cloud Computing; workplace Incivility: Evidence-Based Systematic Literature Review; effective Street View Traffic Sign Detection and Recognition Using Deep Learning; real-Time Smart Alert System for Prevention of Vehicle Accident and Fire: An IoT-Based Alarm System. © 2024 Elsevier B.V., All rights reserved.",,,"Bhattacharya, A.; Dutta, S.; Dutta, P.; Samanta, D.",Springer Science and Business Media Deutschland GmbH,23673389; 23673370,9789819652372; 9783031931055; 9789819662968; 9783031999963; 9783031950162; 9783031947698; 9783032004406; 9783031910074; 9783031926105; 9789819639410,,English,Lect. Notes Networks Syst.,Conference review,Final,,Scopus,2-s2.0-85204549611
,,,"3rd International Conference on Innovation in Engineering, ICIE 2024",2024,Lecture Notes in Mechanical Engineering,,,,,,1274,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200558169&partnerID=40&md5=3f5778ae185ac83fe67626604bad39b4,"The proceedings contain 108 papers. The special focus in this conference is on Innovation in Engineering. The topics include: Transmission Power Based Congestion Control Using Q-Learning Algorithm in Vehicular Ad Hoc Networks (VANET); collaborative Robot Laboratory Setup for Repeatable Force and Speed Experiments; towards Global Sustainability: Exploratory Analysis Through Unsupervised Machine Learning Techniques; structural Kinematic Analysis of a Wheelchair Mechanism Designed for Disabled Persons; application of Graph Theory in Designing the Communication System of a Robotic Production Cell; machine Learning Algorithms in Scheduling Problems: An Overview and Future Paths; on the Relation Between the Smith Predictor and Algebraic Control Approach for Time Delay Systems: A Case Study; image as a Way of Processing Multidimensional Production Data for Product Quality Prediction Using Deep Learning; OPC-UA in Digital Twins—A Performance Comparative Analysis; design Improvements for an Inspection Rover; decoding the Effect of Descriptive Statistics on Informed Decision-Making; Simulation Control of Three-Tank-System Using 2DOF Controller; development of a Serious Game to Support Alzheimer’s Patients: First Insights; e-voting Platform Based on Blockchain; the Transformation of Maintenance with the Arise of Industry 4.0; real-World Comparison of Predictive Controllers Based on Internal and External Description of the Controlled System; the Use of Virtual Reality in Lower-Limb Robotic Rehabilitation; the Contribution of Photovoltaic Systems to Sustainable Agriculture—An Analysis of Agrivoltaic Systems; integration of Augmented Reality and IoT Elements in the Maintenance 4.0; A Fuzzy Logic-Based Risk Assessment Tool for IT Startups; wireless Localization System Applied to a Kitting Pick-to-light System; Posture Correction Device Based on IMU Sensors and CNN. © 2024 Elsevier B.V., All rights reserved.",,,"Machado, J.; Soares, F.; Trojanowska, J.; Ottaviano, E.; Valášek, P.; Reddy D., M.; Perondi, E.A.; Basova, Y.",Springer Science and Business Media Deutschland GmbH,21954364; 21954356,9789819650583; 9783031991585; 9783031948886; 9789819667314; 9789811937156; 9783030703318; 9789811622779; 9789811969447; 9789819701056; 9789819748051,,English,Lect. Notes Mech. Eng.,Conference review,Final,,Scopus,2-s2.0-85200558169
,,,"3rd International Conference on Innovation in Engineering, ICIE 2024",2024,Lecture Notes in Mechanical Engineering,,,,,,1274,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200480886&partnerID=40&md5=f5d0d78cedc28ca1e0fdb18e752e46ca,"The proceedings contain 108 papers. The special focus in this conference is on Innovation in Engineering. The topics include: Transmission Power Based Congestion Control Using Q-Learning Algorithm in Vehicular Ad Hoc Networks (VANET); collaborative Robot Laboratory Setup for Repeatable Force and Speed Experiments; towards Global Sustainability: Exploratory Analysis Through Unsupervised Machine Learning Techniques; structural Kinematic Analysis of a Wheelchair Mechanism Designed for Disabled Persons; application of Graph Theory in Designing the Communication System of a Robotic Production Cell; machine Learning Algorithms in Scheduling Problems: An Overview and Future Paths; on the Relation Between the Smith Predictor and Algebraic Control Approach for Time Delay Systems: A Case Study; image as a Way of Processing Multidimensional Production Data for Product Quality Prediction Using Deep Learning; OPC-UA in Digital Twins—A Performance Comparative Analysis; design Improvements for an Inspection Rover; decoding the Effect of Descriptive Statistics on Informed Decision-Making; Simulation Control of Three-Tank-System Using 2DOF Controller; development of a Serious Game to Support Alzheimer’s Patients: First Insights; e-voting Platform Based on Blockchain; the Transformation of Maintenance with the Arise of Industry 4.0; real-World Comparison of Predictive Controllers Based on Internal and External Description of the Controlled System; the Use of Virtual Reality in Lower-Limb Robotic Rehabilitation; the Contribution of Photovoltaic Systems to Sustainable Agriculture—An Analysis of Agrivoltaic Systems; integration of Augmented Reality and IoT Elements in the Maintenance 4.0; A Fuzzy Logic-Based Risk Assessment Tool for IT Startups; wireless Localization System Applied to a Kitting Pick-to-light System; Posture Correction Device Based on IMU Sensors and CNN. © 2024 Elsevier B.V., All rights reserved.",,,"Machado, J.; Soares, F.; Trojanowska, J.; Ivanov, V.; Antosz, K.; Cagáňová, D.; Manupati, V.K.; Pereira, A.",Springer Science and Business Media Deutschland GmbH,21954364; 21954356,9789819650583; 9783031991585; 9783031948886; 9789819667314; 9789811937156; 9783030703318; 9789811622779; 9789811969447; 9789819701056; 9789819748051,,English,Lect. Notes Mech. Eng.,Conference review,Final,,Scopus,2-s2.0-85200480886
,,,"2nd International Conference on Innovations in Data Analytics, ICIDA 2023",2024,Lecture Notes in Networks and Systems,972,,,,,461,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200463316&partnerID=40&md5=224135d1d6e516b8e0578268212065ab,"The proceedings contain 34 papers. The special focus in this conference is on Innovations in Data Analytics. The topics include: Research on the Impact of Computer Information Technology on Urban Performing Arts Tourism Design; formulation and Performance Assessment for Multiple Server Queuing Models; assessment of Smart Supply Chain Production Floor Based on the Inspection of Final Products: A Simulation-Based Study; review of Efficient Load Balancing Technique to Improve QoS Parameters Fog Computing; electronic Voting System Using Blockchain; performing Evaluation of Non-fungible Tokens: A Review; a Concept Matrix-Based Approach for Research Paper Clustering; Real-Time Multi-objects Detection Using YOLOv7 for Advanced Driving Assistant Systems; an Intelligent Credit Card Fraud Detection Using a Classification Algorithm; A Novel Approach for Intelligent Hardware Utilization in CI/CD Pipeline; retinal Vessel Segmentation Using Modify Matching Filter and Hessian Matrix; Increasing Contrast in X-ray Images Using Retinex- and CLAHE-Based Region Segmentation; blood Share + −: A Connecting Resource for Donors and Seekers; gradient Ridge Enhancer: A Robust Approach for Ridge Detection in Infant’ Retinal Images; securing Real-Time Data Streams with Cloud-Enabled Lightweight Cryptography; examining the Consequences of Cyberattacks on Businesses and Organizations; player Performance Analysis Using Various Data Mining Approaches; systematic Review of Wavelet Tree Compression Techniques; analysis of Credit Bank Construction Mode of Higher Vocational Colleges Based on Big Data and Cloud Computing; workplace Incivility: Evidence-Based Systematic Literature Review; effective Street View Traffic Sign Detection and Recognition Using Deep Learning; real-Time Smart Alert System for Prevention of Vehicle Accident and Fire: An IoT-Based Alarm System. © 2024 Elsevier B.V., All rights reserved.",,,"Bhattacharya, A.; Dutta, S.; Dutta, P.; Samanta, D.",Springer Science and Business Media Deutschland GmbH,23673389; 23673370,9789819652372; 9783031931055; 9789819662968; 9783031999963; 9783031950162; 9783031947698; 9783032004406; 9783031910074; 9783031926105; 9789819639410,,English,Lect. Notes Networks Syst.,Conference review,Final,,Scopus,2-s2.0-85200463316
,,,"3rd International Conference on Innovation in Engineering, ICIE 2024",2024,Lecture Notes in Mechanical Engineering,,,,,,1274,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200446078&partnerID=40&md5=1d0d2ae965a87e9959f0868992bc57be,"The proceedings contain 108 papers. The special focus in this conference is on Innovation in Engineering. The topics include: Transmission Power Based Congestion Control Using Q-Learning Algorithm in Vehicular Ad Hoc Networks (VANET); collaborative Robot Laboratory Setup for Repeatable Force and Speed Experiments; towards Global Sustainability: Exploratory Analysis Through Unsupervised Machine Learning Techniques; structural Kinematic Analysis of a Wheelchair Mechanism Designed for Disabled Persons; application of Graph Theory in Designing the Communication System of a Robotic Production Cell; machine Learning Algorithms in Scheduling Problems: An Overview and Future Paths; on the Relation Between the Smith Predictor and Algebraic Control Approach for Time Delay Systems: A Case Study; image as a Way of Processing Multidimensional Production Data for Product Quality Prediction Using Deep Learning; OPC-UA in Digital Twins—A Performance Comparative Analysis; design Improvements for an Inspection Rover; decoding the Effect of Descriptive Statistics on Informed Decision-Making; Simulation Control of Three-Tank-System Using 2DOF Controller; development of a Serious Game to Support Alzheimer’s Patients: First Insights; e-voting Platform Based on Blockchain; the Transformation of Maintenance with the Arise of Industry 4.0; real-World Comparison of Predictive Controllers Based on Internal and External Description of the Controlled System; the Use of Virtual Reality in Lower-Limb Robotic Rehabilitation; the Contribution of Photovoltaic Systems to Sustainable Agriculture—An Analysis of Agrivoltaic Systems; integration of Augmented Reality and IoT Elements in the Maintenance 4.0; A Fuzzy Logic-Based Risk Assessment Tool for IT Startups; wireless Localization System Applied to a Kitting Pick-to-light System; Posture Correction Device Based on IMU Sensors and CNN. © 2024 Elsevier B.V., All rights reserved.",,,"Machado, J.; Soares, F.; Trojanowska, J.; Yildirim, S.; Vojtěšek, J.; Rea, P.; Gramescu, B.; Hrybiuk, O.O.",Springer Science and Business Media Deutschland GmbH,21954364; 21954356,9789819650583; 9783031991585; 9783031948886; 9789819667314; 9789811937156; 9783030703318; 9789811622779; 9789811969447; 9789819701056; 9789819748051,,English,Lect. Notes Mech. Eng.,Conference review,Final,,Scopus,2-s2.0-85200446078
"Kalaiselvi, K.; Saravanan, K.; Shalini, M.; Venkatesan, T.; Ravi, S.; Karthi, J.","Kalaiselvi, K. (58566282100); Saravanan, K. (57202098322); Shalini, M. (58559563300); Venkatesan, T. (59008521300); Ravi, S. (59858405400); Karthi, J. (59274932200)",58566282100; 57202098322; 58559563300; 59008521300; 59858405400; 59274932200,Unleashing Innovation: Experimental Evaluation of Blockchain Assisted Electronic Voting System Using Secured Authentication Scheme,2024,,,,,,,0,10.1109/ISCS61804.2024.10581204,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199307462&doi=10.1109%2FISCS61804.2024.10581204&partnerID=40&md5=e22b451231648e0d50fef2e5ede0f338,"The abstract presents a concise overview of the methodology and key findings of the experimental evaluation conducted for a Blockchain Assisted Electronic Voting System (BAEVS) employing a Secured Authentication Scheme. This study focuses on the design, implementation, and assessment of the BAEVS, aiming to enhance the transparency, security, and reliability of electronic voting processes. The methodology encompasses three main stages: Prototype Development, Blockchain Platform Selection, and Smart Contract Implementation. The prototype is developed using modern web development frameworks to ensure usability and accessibility for diverse users. A suitable blockchain platform, such as Ethereum or Hyperledger Fabric, is chosen to implement the distributed ledger component, considering factors such as scalability and security. Smart contracts, developed in platform-specific languages, govern the voting process and undergo rigorous testing to ensure correctness and reliability. The experimental evaluation reveals promising results, demonstrating the effectiveness of the BAEVS in providing secure and transparent electronic voting. Overall, this study contributes to the advancement of electronic voting systems by offering insights into the design and implementation of blockchain-assisted solutions with secured authentication mechanisms. © 2024 Elsevier B.V., All rights reserved.",Blockchain Assisted Electronic Voting System (BAEVS); Blockchain Technology; Electronic Voting System; Secured Authentication Scheme,Authentication; Distributed ledger; Electronic voting; Platform as a Service (PaaS); Voting machines; Authentication scheme; Block-chain; Blockchain assisted electronic voting system; Blockchain technology; Electronic voting system; Secured authentication scheme; Voting systems; Blockchain,"Chhikara, R.; Khurana, M.; Mahajan, S.; Gigras, Y.",Institute of Electrical and Electronics Engineers Inc.,,9798350375237,,English,"Int. Conf. Intell. Syst. Cybersecur., ISCS",Conference paper,Final,,Scopus,2-s2.0-85199307462
,,,"2024 1st International Conference on Trends in Engineering Systems and Technologies, ICTEST 2024",2024,,,,,,,699,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198343883&partnerID=40&md5=dcd6ab6afa20fb144f7c0715ead489df,"The proceedings contain 119 papers. The topics discussed include: machine learning and deep learning architectures for intrusion detection system (IDS): a survey; artificial steering feel in steer by wire systems: a simulation based evaluation of control strategies; review of totem-pole boost bridgeless PFC rectifier intended for on-board EV charging; revolutionizing voting: blockchain-powered e-voting with Solana; automated glaucoma detection and assessment using CNN from fundus images; ANN technique for load forecasting; energy efficient beam-forming and power distribution in cognitive radio network; comparison of deep learning classifier models for sensor array based acoustic source localization; power quality improvement in transmission system using optimal location system with integration of distributed power flow controller; and smart junctions: Yolov5, DeepSORT, and direction analysis for traffic enhancement. © 2024 Elsevier B.V., All rights reserved.",,,,Institute of Electrical and Electronics Engineers Inc.,,9798350307795,,English,"Int. Conf. Trends Eng. Syst. Technol., ICTEST",Conference review,Final,,Scopus,2-s2.0-85198343883
"Gochhi, S.K.; Sahoo, S.; Samanta, P.K.; Panda, S.K.; Sahoo, J.R.","Gochhi, Soubhagya Kumar (59125696600); Sahoo, Soumya R. (54788413600); Samanta, Prabeer Kishore (59125521900); Panda, Sandeep Kumar (57217153128); Sahoo, Jyoti Ranjan (58028058300)",59125696600; 54788413600; 59125521900; 57217153128; 58028058300,Blockchain-Based Comparative Analysis of E-Voting Systems: A Review,2024,,,,,,,0,10.1109/ASSIC60049.2024.10507924,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192978562&doi=10.1109%2FASSIC60049.2024.10507924&partnerID=40&md5=8b19a9e561ec8a0b4b59dcde442e27b6,"The erosion of voter rights and the growing distrust in both traditional and digital voting systems have created an urgent need for a more robust and transparent solution. Blockchain technology emerges as a beacon of hope in addressing these significant shortcomings, By harnessing the power of decentralization, blockchain offers the potential to revolutionize the election process, substantially reducing the risks associated with manipulation and fraud. Blockchain-based e-voting solutions, characterized by their decentralized architecture, cryptographic security measures, and unparalleled transparency, employ smart contracts to further fortify the pillars of security and fairness in elections. Nevertheless, it is crucial to acknowledge and tackle the challenges that lie ahead. Issues like preserving voter privacy and achieving scalability in blockchain-based e-voting systems must be addressed head-on. While the application of blockchain extends far beyond voting, resolving scalability concerns and navigating resistance from established power structures will be instrumental in realizing widespread adoption. In conclusion, the mounting distrust in traditional voting systems, coupled with the limitations of digital alternatives, underscores the pressing need to explore blockchain technology as a means of enhancing electronic voting. By doing so, We can create the conditions for a safer and equitable democratic process that safeguards the fundamental rights of voters. © 2024 Elsevier B.V., All rights reserved.",Blockchain; Decentralization and verifiability; Electronic voting systems; Security; Transparency,Data privacy; Electronic voting; Scalability; Transparency; Block-chain; Comparative analyzes; Decentralisation; Decentralization and verifiability; E-voting systems; Electronic voting system; Security; Verifiability; Voting systems; Blockchain,"Mishra, S.; Tripathy, H.K.; Mohanty, J.R.; Mishra, S.; Gaber, T.; Sahoo, K.S.",Institute of Electrical and Electronics Engineers Inc.,,9798350370188,,English,"Proc. Int. Conf. Adv. Smart, Secur. Intell. Comput., ASSIC",Conference paper,Final,,Scopus,2-s2.0-85192978562
"Zarif, Z.; Tojiakbarova, U.; Xolimtayeva, I.; Shamsiyeva, B.","Zarif, Khudoykulov Turakulovich (57221665849); Tojiakbarova, Umida (57462394100); Xolimtayeva, Ikbola (58769538400); Shamsiyeva, Barno (58769604400)",57221665849; 57462394100; 58769538400; 58769604400,Comparative analysis of electronic voting methods based on blockchain technology,2024,,1,,,719,723,0,10.1201/9781003393580-106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186709242&doi=10.1201%2F9781003393580-106&partnerID=40&md5=799a90d5b6ebb53dbb4b132df25f56c9,"In recent years, electronic voting has become a very popular and topical topic. Electronic voting technology can speed up ballot counting and provide accessibility for voters with disabilities. Electronic voting can also facilitate electoral fraud, especially given the risks associated with remote voting. Building a secure electronic voting system that offers the fairness and privacy of current voting schemes, while providing the transparency and flexibility offered by electronic systems has been a challenge for a long time. In this work-in-progress paper, we evaluate an application of blockchain as a service to implement distributed electronic voting systems. The paper proposes a novel electronic voting system based on blockchain that addresses some of the limitations in existing systems and evaluates some of the popular blockchain frameworks for the purpose of constructing a blockchain-based e-voting system. In particular, we evaluate the potential of distributed ledger technologies through the description of a case study; namely, the process of an election, and the implementation of a blockchainbased application, which improves the security and decreases the cost of hosting a nationwide election. © 2024 Elsevier B.V., All rights reserved.",algorithm; blockchian; confidentiality; electronic voting; hash function; security,Blockchain; Distributed ledger; Electronic voting; Voting machines; Block-chain; Blockchian; Comparative analyzes; Confidentiality; Security; Speed up; Voting method; Voting systems; Voting technology; Hash functions,"Dagur, A.; Singh, K.; Mehra, P.S.; Shukla, D.K.",CRC Press/Balkema http://Pub.NL@taylorandfrancis.com,,9781032669663,,English,"Artifi. Intell., Blockchain, Comput. Secur. - Proc. Int. Conference on Artif. Intell., Blockchain, Comput. Secur.",Conference paper,Final,,Scopus,2-s2.0-85186709242
